时间,水解pH,水解VFA,水解TS,水解VS,水解氨氮,水解COD,发酵pH,发酵VFA,发酵碱度,发酵TS,发酵VS,发酵氨氮,发酵COD,进料量,产气量,单位VS产气量
2020.05.26,4.13,12495,0.0727,0.7899,337.8,65580,7.86,2880,10120,0.0247,0.3954,1820.5,12792.4,43.56,2512,145.8461936
2020.05.27,3.94,14250,0.0663,0.7804,337.8,65580,7.72,2616,10020,0.0256,0.4139,1820.5,12792.4,43.56,2507,139.0500139
2020.05.28,3.98,14650,0.0653,0.7945,360.8,54400,7.74,2760,10000,0.0244,0.4226,1841.5,12640,43.56,2540,137.9800674
2020.05.29,3.93,16800,0.0665,0.7738,360.8,54400,7.73,2640,10000,0.0239,0.394,1841.5,12640,43.56,2578,150.209991
2020.05.30,3.93,16800,0.0676,0.7843,360.8,54400,7.8,2940,10090,0.03,0.42,1841.5,12640,43.56,2620,143.2069614
2020.05.31,3.97,15300,0.0681,0.7815,360.8,54400,7.81,2988,10200,0.0253,0.4116,1841.5,12640,43.56,2556,142.5599756
2020.06.01,3.94,15900,0.0696,0.7843,354.8,62940,7.8,3240,10080,0.0254,0.4083,1841.5,13625,43.56,2551,143.4310599
2020.06.02,3.8,13950,0.0711,0.7905,354.8,62940,7.7,3180,10000,0.0255,0.4094,1841.5,13625,43.56,2578,144.5596885
2020.06.03,3.93,13350,0.0692,0.7862,354.8,62940,7.69,3060,9800,0.026,0.428,1841.5,13625,43.56,2611,140.0474584
2020.06.04,3.94,13700,0.068,0.7835,354.8,62940,7.76,3160,10000,0.0255,0.4273,1841.5,13625,43.56,2602,139.7933551
2020.06.05,4.09,13140,0.0673,0.7827,308.8,62640,7.74,3360,10080,0.025,0.4186,1886.75,14705,44.88,2603,138.5549659
2020.06.06,4.18,12900,0.0704,0.7895,308.8,62640,7.72,3240,9900,0.0258,0.4222,1886.75,14705,44.88,2597,137.0568899
2020.06.07,4.19,13350,0.0666,0.7853,308.8,62640,7.73,3240,10040,0.0263,0.4333,1886.75,14705,44.88,2598,133.5972779
2020.06.08,3.91,17850,0.0641,0.7657,308.8,62640,7.72,3480,9860,0.0261,0.4287,1886.75,14705,44.88,2628,136.590039
2020.06.09,3.87,17650,0.0641,0.7628,336.6,64400,7.6,3624,9800,0.0256,0.4503,1810,15000,44.88,2644,130.8297934
2020.06.10,3.93,18216,0.0627,0.7745,336.6,64400,7.7,3653,9920,0.0268,0.4429,1810,15000,44.88,2661,133.8709502
2020.06.11,3.92,16620,0.0688,0.7935,336.6,64400,7.68,3720,9960,0.0258,0.4359,1810,15000,44.88,2696,137.8098216
